trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
CITY_KNGM,6:00:00,6:00:00,0811ODE,1,,,
CITY_KNGM,6:15:00,6:17:00,0801CHR,2,,,
CITY_KNGM,6:20:00,6:20:00,0811WST,3,,,
CITY_KNGM,6:30:00,6:30:00,0811SAF,4,,,
CITY_KNGM,6:35:00,6:35:00,0811ABC,5,,,
CITY_KNGM,6:40:00,6:40:00,0811KAR,6,,,
CITY_KNGM,6:45:00,6:45:00,0801DEL,7,,,
CITY_KNGM,6:50:00,6:50:00,0811KND,8,,,
CITY_KNGM,6:55:00,6:55:00,0801SDM,9,,,
CITY_KNGM,7:00:00,7:00:00,0811KGT,10,,,
KNGM_CITY,7:15:00,7:15:00,0811KGT,1,,,
KNGM_CITY,7:20:00,7:20:00,0810NSH,2,,,
KNGM_CITY,7:25:00,7:25:00,0810KAR,3,,,
KNGM_CITY,7:30:00,7:30:00,0800KBB,4,,,
KNGM_CITY,7:35:00,7:35:00,0800WDC,5,,,
KNGM_CITY,7:40:00,7:40:00,0810STM,6,,,
KNGM_CITY,7:45:00,7:45:00,0810WST,7,,,
KNGM_CITY,7:50:00,7:50:00,0800EDS,8,,,
KNGM_CITY,7:55:00,7:55:00,0800CHR,9,,,
KNGM_CITY,8:00:00,8:00:00,0800MUS,10,,,
KNGM_CITY,8:05:00,8:05:00,0810MCP,11,,,
KNGM_CITY,8:10:00,8:10:00,0810ODE,12,,,
CITY_KMBU,6:30:00,6:30:00,0211OTC,1,,,
CITY_KMBU,6:40:00,6:40:00,0211NGR,2,,,
CITY_KMBU,6:50:00,6:50:00,0211MBS,3,,,
CITY_KMBU,6:55:00,6:55:00,0211CID,4,,,
CITY_KMBU,7:00:00,7:00:00,0201ROC,5,,,
CITY_KMBU,7:05:00,7:05:00,0201NTR,6,,,
CITY_KMBU,7:15:00,7:15:00,0201KWH,7,,,
CITY_KMBU,7:20:00,7:20:00,0201KSS,8,,,
CITY_KMBU,7:25:00,7:25:00,0211TND,9,,,
CITY_KMBU,7:35:00,7:35:00,0201KS2,10,,,
CITY_KMBU,7:45:00,7:45:00,0211TMA,11,,,
KMBU_CITY,7:00:00,7:00:00,0200KJN,1,,,
KMBU_CITY,7:05:00,7:05:00,0200KS2,2,,,
KMBU_CITY,7:10:00,7:10:00,0200TND,3,,,
KMBU_CITY,7:15:00,7:15:00,0200BWD,4,,,
KMBU_CITY,7:20:00,7:20:00,0200BLN,5,,,
KMBU_CITY,7:25:00,7:25:00,0200KWH,6,,,
KMBU_CITY,7:30:00,7:30:00,0200RND,7,,,
KMBU_CITY,7:35:00,7:35:00,0210NTR,8,,,
KMBU_CITY,7:40:00,7:40:00,0200RDS,9,,,
KMBU_CITY,7:45:00,7:45:00,0200WJY,10,,,
KMBU_CITY,7:50:00,7:50:00,0200ROC,11,,,
KMBU_CITY,7:55:00,7:55:00,0210CID,12,,,
KMBU_CITY,8:00:00,8:00:00,0210MGC,13,,,
KMBU_CITY,8:05:00,8:05:00,0210SMB,14,,,
KMBU_CITY,8:10:00,8:10:00,0210OTC,15,,,
CITY_BURU,7:00:00,7:00:00,0411AMB,1,,,
CITY_BURU,7:05:00,7:05:00,0411CST,2,,,
CITY_BURU,7:10:00,7:10:00,0411SMY,3,,,
CITY_BURU,7:15:00,7:15:00,0411MZW,4,,,
CITY_BURU,7:20:00,7:20:00,0411CAR,5,,,
CITY_BURU,7:25:00,7:25:00,0401UJR,6,,,
CITY_BURU,7:30:00,7:35:00,0411HMZ,7,,,
CITY_BURU,7:35:00,7:35:00,0411BPF,8,,,
CITY_BURU,7:40:30,7:40:30,0411PFJ,9,,,
CITY_BURU,7:45:30,7:45:30,0401BFA,10,,,
CITY_BURU,7:50:00,7:50:00,0401UCB,11,,,
CITY_BURU,7:55:00,7:55:00,0401TSK,12,,,
CITY_BURU,8:00:00,8:00:00,0401MTW,13,,,
BURU_CITY,9:00:00,9:00:00,0400MTW,1,,,
BURU_CITY,9:05:00,9:05:00,0400UCB,2,,,
BURU_CITY,9:10:00,9:10:00,0400PFS,3,,,
BURU_CITY,9:15:00,9:15:00,0410PFJ,4,,,
BURU_CITY,9:20:00,9:20:00,0410BPF,5,,,
BURU_CITY,9:25:00,9:25:00,0410NCK,6,,,
BURU_CITY,9:30:00,9:30:00,0410HMZ,7,,,
BURU_CITY,9:35:00,9:35:00,0410DCJ,8,,,
BURU_CITY,9:40:00,9:40:00,0410CAR,9,,,
BURU_CITY,9:45:00,9:45:00,0410KLL,10,,,
BURU_CITY,9:50:00,9:50:00,0410CST,11,,,
BURU_CITY,9:55:00,9:55:00,0410SLA,12,,,
BURU_CITY,10:00:00,10:00:00,0410KNC,13,,,
CITY_KSTH,8:00:00,8:00:00,0411AMB,1,,,
CITY_KSTH,8:05:00,8:05:00,0411CST,2,,,
CITY_KSTH,8:10:00,8:10:00,0411SMY,3,,,
CITY_KSTH,8:15:00,8:15:00,0411MZW,4,,,
CITY_KSTH,8:20:00,8:20:00,0401MKB,5,,,
CITY_KSTH,8:25:00,8:25:00,0401BPS,6,,,
CITY_KSTH,8:30:00,8:30:00,0411JSC,7,,,
CITY_KSTH,8:35:00,8:35:00,0401USC,8,,,
CITY_KSTH,8:40:00,8:40:00,0401NBP,9,,,
CITY_KSTH,8:45:00,8:45:00,0411BP1,10,,,
CITY_KSTH,8:50:00,8:50:00,0401MWS,11,,,
CITY_KSTH,8:55:00,8:55:00,0401CVS,12,,,
CITY_KSTH,9:00:00,9:00:00,0401KSE,13,,,
KSTH_CITY,9:00:00,9:00:00,0400KSE,1,,,
KSTH_CITY,9:05:00,9:05:00,0400FSX,2,,,
KSTH_CITY,9:10:00,9:10:00,0400KSP,3,,,
KSTH_CITY,9:15:00,9:15:00,0400TTP,4,,,
KSTH_CITY,9:20:00,9:20:00,0400PST,5,,,
KSTH_CITY,9:25:00,9:25:00,0400BRB,6,,,
KSTH_CITY,9:30:00,9:30:00,0410USP,7,,,
KSTH_CITY,9:35:00,9:35:00,0400JSC,8,,,
KSTH_CITY,9:40:00,9:40:00,0410NPB,9,,,
KSTH_CITY,9:45:00,9:45:00,0400BDC,10,,,
KSTH_CITY,9:50:00,9:50:00,0400MKG,11,,,
KSTH_CITY,9:55:00,9:55:00,0410KLL,12,,,
KSTH_CITY,10:00:00,10:00:00,0410KNC,13,,,
KARN_DAGR,6:00:00,6:00:00,0711KRY,1,,,
KARN_DAGR,6:05:00,6:05:00,0701KDF,2,,,
KARN_DAGR,6:10:00,6:10:00,0701SHS,3,,,
KARN_DAGR,6:15:00,6:15:00,0701AIU,4,,,
KARN_DAGR,6:20:00,6:20:00,0701RHP,5,,,
KARN_DAGR,6:25:00,6:25:00,0701KRD,6,,,
KARN_DAGR,6:30:00,6:30:00,0701DGT,7,,,
DAGR_KARN,6:45:00,6:45:00,0700DGR,1,,,
DAGR_KARN,6:50:00,6:50:00,0700KEH,2,,,
DAGR_KARN,6:55:00,6:55:00,0700FMK,3,,,
DAGR_KARN,7:00:00,7:00:00,0700RPR,4,,,
DAGR_KARN,7:05:00,7:05:00,0710AIV,5,,,
DAGR_KARN,7:10:00,7:10:00,0700SHO,6,,,
DAGR_KARN,7:15:00,7:15:00,0700KDN,7,,,
DAGR_KARN,7:20:00,7:20:00,0710KTR,8,,,
DCON_WNGG,6:00:00,6:00:00,0701DCS,1,,,
DCON_WNGG,6:05:00,6:05:00,0711SGO,2,,,
DCON_WNGG,6:10:00,6:10:00,0701BPP,3,,,
DCON_WNGG,6:15:00,6:15:00,0701NVI,4,,,
DCON_WNGG,6:20:00,6:20:00,0701NDW,5,,,
DCON_WNGG,6:25:00,6:25:00,0711GTD,6,,,
DCON_WNGG,6:30:00,6:30:00,0701LRI,7,,,
DCON_WNGG,6:35:00,6:35:00,0701UTP,8,,,
DCON_WNGG,6:40:00,6:40:00,0811JMK,9,,,
DCON_WNGG,6:45:00,6:45:00,0811RNG,10,,,
DCON_WNGG,6:50:00,6:50:00,0701GTR,11,,,
DCON_WNGG,6:55:00,6:55:00,0711MGU,12,,,
DCON_WNGG,7:00:00,7:00:00,0711MUT,13,,,
DCON_WNGG,7:05:00,7:05:00,0701ACC,14,,,
DCON_WNGG,7:10:00,7:10:00,0711WNG,15,,,
WNGG_DCON,7:00:00,7:00:00,0710WNG,1,,,
WNGG_DCON,7:05:00,7:05:00,0700ACI,2,,,
WNGG_DCON,7:10:00,7:10:00,0700GBK,3,,,
WNGG_DCON,7:15:00,7:15:00,0710MAU,4,,,
WNGG_DCON,7:20:00,7:20:00,0700GRU,5,,,
WNGG_DCON,7:25:00,7:25:00,0810RUG,6,,,
WNGG_DCON,7:30:00,7:30:00,0800REG,7,,,
WNGG_DCON,7:35:00,7:35:00,0800KIN,8,,,
WNGG_DCON,7:40:00,7:40:00,0810EGT,9,,,
WNGG_DCON,7:45:00,7:45:00,0810COP,10,,,
WNGG_DCON,7:50:00,7:50:00,0800NDJ,11,,,
WNGG_DCON,7:55:00,7:55:00,0700URB,12,,,
WNGG_DCON,8:00:00,8:00:00,0700IRI,13,,,
WNGG_DCON,8:05:00,8:05:00,0700NDU,14,,,
WNGG_DCON,8:10:00,8:10:00,0700EUI,15,,,
WNGG_DCON,8:15:00,8:15:00,0700MSK,16,,,
WNGG_DCON,8:20:00,8:20:00,0700DCT,17,,,
WNGG_DCON,8:25:00,8:25:00,0700KDC,18,,,
DCON_UTHR,9:00:00,9:00:00,0701DCS,1,,,
DCON_UTHR,9:05:00,9:05:00,0711SGO,2,,,
DCON_UTHR,9:10:00,9:10:00,0701BPP,3,,,
DCON_UTHR,9:15:00,9:15:00,0701NVI,4,,,
DCON_UTHR,9:20:00,9:20:00,0701NDW,5,,,
DCON_UTHR,9:25:00,9:25:00,0711GTD,6,,,
DCON_UTHR,9:30:00,9:30:00,0701LRI,7,,,
DCON_UTHR,9:35:00,9:35:00,0701UTP,8,,,
UTHR_DCON,10:00:00,10:00:00,0701UTP,1,,,
UTHR_DCON,10:05:00,10:05:00,0700URB,2,,,
UTHR_DCON,10:10:00,10:10:00,0700IRI,3,,,
UTHR_DCON,10:15:00,10:15:00,0700NDU,4,,,
UTHR_DCON,10:20:00,10:20:00,0700EUI,5,,,
UTHR_DCON,10:25:00,10:25:00,0700MSK,6,,,
UTHR_DCON,10:30:00,10:30:00,0700DCT,7,,,
UTHR_DCON,10:35:00,10:35:00,0700KDC,8,,,
TOWN_SOUC,6:00:00,6:00:00,0511BST,1,,,
TOWN_SOUC,6:05:00,6:05:00,0501NYY,2,,,
TOWN_SOUC,6:10:00,6:10:00,0511BLV,3,,,
TOWN_SOUC,6:15:00,6:15:00,0501MRT,4,,,
TOWN_SOUC,6:20:00,6:20:00,0501NEK,5,,,
TOWN_SOUC,6:25:00,6:25:00,0501AKL,6,,,
TOWN_SOUC,6:30:00,6:30:00,0500MGY,7,,,
