stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0711RWY,,Railways,D,-1.290475,36.82801,,,,0001RLW
0711NAT,,Nairobi Area Police Traffic Headquarters,D,-1.296463,36.808161,,,,
0711KNT,,Kenyatta National Hospital,D,-1.297568,36.804868,,,,
0711MCP,,Memosa/Coptic,D,-1.298912,36.798084,,,,
0711UCN,,Uchumi Hyper Ngong Road/ Ngong Hills Hotel,D,-1.299527,36.792314,,,,
0711NKP,,Nakumatt Prestige,D,-1.299708,36.787362,,,,
0711MTL,,Motherland,D,-1.299889,36.783829,,,,
0711AAD,,Adams Arcade,D,-1.300068,36.781184,,,,
0701PSA,,Posta,ND,-1.300362,36.774018,,,,
0711PST,,Posta Stage,D,-1.30048,36.771887,,,,
0711IMP,,Impala,D,-1.300448,36.7692,,,,
0711JKR,,Jamuhuri/Kibera Station Road,D,-1.300063,36.767103,,,,
0711NKJ,,Nakumatt Junction,D,-1.299205,36.763019,,,,
0701CMD,,Corner/Meteorological Department,ND,-1.299706,36.759325,,,,
0701TKS,,Tankard/Shallow,ND,-1.300559,36.756962,,,,
0701SWD,,Showground,ND,-1.302148,36.752708,,,,
0701SFY,,Showground/FastEnergy,ND,-1.302559,36.75167,,,,
0701KNO,,Kenol,ND,-1.304315,36.746821,,,,
0701PWY,,Pathway,ND,-1.305775,36.742626,,,,
0701RCE,,Racecourse,ND,-1.306662,36.738271,,,,
0711LNN,,Lenana,D,-1.30788,36.734194,,,,
0701LNA,,Lenana,ND,-1.308462,36.732408,,,,
0711MTI,,Miotoni,D,-1.3126,36.722659,,,,
0701CRS,,Christophers,ND,-1.318738,36.715632,,,,
0701KFR,,Kwa Farasi,ND,-1.319781,36.714437,,,,
0711KRN,,Karen,ND,-1.322568,36.706687,,,,
0701WRG,,Windy Ridge/Group Africa,ND,-1.324266,36.701959,,,,
0711WDC,,Westwood/Defense College,D,-1.325356,36.697102,,,,
0711MKP,,Mbagathi/Kephis,D,-1.327656,36.691223,,,,
0701KCC,,KCB Community,ND,-1.329666,36.686842,,,,
0701SHT,,Shade Hotel,ND,-1.328036,36.684113,,,,
0701SHL,,Shade Hotel,ND,-1.328522,36.682907,,,,
0711JOG,,Jogoo,D,-1.329173,36.681338,,,,
0701JBC,,Jogoo/KBC,ND,-1.329651,36.680235,,,,
0701MHS,,Maasai High School,ND,-1.330285,36.6788,,,,
0701HKA,,Hekima,ND,-1.33045,36.678428,,,,
0701UMJ,,Umoja,ND,-1.331067,36.677003,,,,
0701BCA,,Bumps/PCEA,ND,-1.332217,36.675211,,,,
0711BLB,,Bulbul,D,-1.333908,36.673585,,,,
0701BLC,,Bulbul Kanisani(Catholic Church),ND,-1.335206,36.672411,,,,
0701ELP,,Elsi Place,ND,-1.340269,36.667122,,,,
0701KMC,,Kwa Muchina,ND,-1.341244,36.666753,,,,
0701NVV,,Naivas/ Vet,ND,-1.342889,36.666389,,,,
0701KNC,,Kenvic,ND,-1.343876,36.666123,,,,
